emotion_label,processed_text,encoded_label
surprised,sister: orey em acting chesthunavraaa kamalhassan!!,3
surprised,me after eating her chocolate: evaru nuvvu!,3
surprised,me with my sister: aaah please akka aah chocolate ivvuu ,3
disgust,me silently drinking dads mandhu: entidhi chedhugaa undhi,1
disgust,me: sorry daddy thumbs up anukunna,1
disgust,dad: entraa adhi thagesthunav,1
surprised,"neny teesi manna, dr. jayakrishana, phd, mphil... sex specilsit laa undhi",3
surprised,enthaku teginchraa meeru,3
surprised,"jayakrishna simha, simple gaa undani, aa chetha antha lepimani cheppanu",3
surprised,"rey, nuvvevidiv raa adhi cheppadaniki",3
angry,me with that athi kid in functions,2
sad,childhood me after cancelling games period ,9
angry,me: adagagane cheppesthe inka ndhuku mowaaa,2
angry,lecturer: eraaa evadraa arusthundhi ,2
angry,aa fans: evadraa piracy chesindhi!!,2
angry,pushpa-2 was available in piracy from release day afternoon onwards,2
neutral,my parents reaction after my sister coming from college hostel,4
sad,me: please mummy aah bomma konivvu mummy ,9
sad,class lo suresh gaadu konukunnadu naaku kavali mummy ,9
wonder,maths teacher: meelo maths class entha mandhi ki kaavali,7
wonder,toppers raised their hands,7
wonder,maths teacher: oh! andhariki kaavalanammata,7
neutral,"me: ledu raa, naaku manchi pakcage tho job ",4
neutral,"my friend: entra sweets panchuthunnav, anni pass ayipoyavaa",4
neutral,"my friend: naaku 8.00 cgpa, vaadiki 7.00 cgpa, vadiki kooda vacchesindhi, kaani raatledhu...!",4
neutral,when i am giving sweets to everyone,4
angry,me peacefully sleeping then some one knocking the door: ,2
angry,evadra adhi ,2
angry,intha podunne talupu kodutundhi,2
fearful,me: kani answer akkada undhi!,6
fearful,invigilator: nee paper ituuu undhi,6
surprised,"ila, shoppings ki, ani cinemalki, dabbulu tagaleyyakrledhu",3
surprised,"happy ney gaa. current bills kattakarledhu, inti rent kattakraledhu",3
surprised,"when everyone celebrating new year,",3
heroism,others: ee intlo intha vediga undhi ele untunnara,5
heroism,ila ,5
sad,my frnd after eating pickles continuously ,9
angry,"his gf: andukey ga, ninnu bharisthnna",2
angry,"my friend to his gf: cheppu, neeku nakkana, manchi abbayi dorukuthada, cheppu",2
angry,"when i am enjoying in office party, my tl
me:",2
neutral,bestie after getting a kiss from his bf be like: em anna chesadu veedu asalu,4
neutral,na bestie ye bestu vada ba kiss chestadu,4
happy,"maths teacher: nenu chinnappudu anni subjects lo topper, andhukey ippudu meeku baaga class chepthunna ",0
happy,meeru naalagey baaga chaduvuni teachers avvandi,0
disgust,"adhey video mee ammadho, chelli dho pedithey, ela untundhi raa",1
disgust,nuvvu asalu manishivenaa raa,1
happy,when you all went for party: arey azamuuu ekkadiki ra pothunav,0
happy,that teetotaler situation: nenu voptha ra meelo meeru kottukoni chavandi,0
neutral,"maths sir: tum andar jao, meree klaas der ho jaegee",4
neutral,his wife: main chala gaya.!! main tumhaaree klaas dekhoonga!! ,4
neutral,"maths teacher: abba, idhi velladu, veedu vadaladu",4
heroism,dadagiri ki vachchina dourjanyaaniki vachchina goondaisaniki vachchina grouplu katataniki vachchina rajakiyam tho vachchina rowdyisam tho vachchina..puta ko sevam chappuna port ki bali avuthaayi.,5
heroism,iddhe nella meedha yela tharapadi ganja ki edichammu guda ki edichammu…kadupu maadithe kaneelu mingi bathikemmu… aaa kaneelu ippudu mandayi…!!! evarainna vasthe maadipothaaru.. .,5
heroism,chatrapathi interval dialouge: ,5
confused,"miru chese panlu maku teliyada enti, cheppa mantara",8
confused,ippudu ee manchu undhi kada mandu lo kalupu koni taagocha,8
confused,lecturer ni adige doubt aa ra idhi,8
angry,achham mi akka buggalu ni buggalu same to same unnay ra ,2
angry,po poyi cheppu mi nanna ki ninnu kuda muddu pettu kunna ani,2
happy,my friend using snap filters be like and using that as whatsapp dp,0
angry,my friend after becoming a doctor: oopri kasta mellaga teesukondi  ,2
heroism,"me and my friends after realizing that we have joined in jail, instead of college",5
surprised,"enni years chaduvutav ayya degree ni, ma ammayini chusi nerchuko",3
surprised,vidu nake esadu dialogue malli,3
surprised,mi ammayini chuste eppudo aypoyedhi mari,3
disgust,my frnds taking me to sitting when i am not interested ,1
neutral,giraka nenu niku doraka ,4
neutral,that lizard running away from getting caught: ,4
sad,"when a topper got forgot to write 1, 2 marks question",9
surprised,"principal: ika cr gaa, ee class ni nuvvey lead cheyyali",3
surprised,"me: eedo pedha captain, migatha vaallo playerssu",3
happy,my friends where there is a new lady professor in the class be like: rey aapukondra ,0
sad,my brother: urko raa neeku alavatega ivanniii!,9
sad,me after getting thitlu from daddy ,9
surprised,me telling about my friend to his father: ,3
surprised,"his father: ledhu
me: akkada adhi mar gayaa!!!",3
surprised,me: ee lati lekunda meeru work cheyyagalara,3
heroism,"me: kothadhi, kothadi cheppu ra",5
heroism,cr: nuvvoka back bencher vi,5
neutral,aah enti?,4
neutral,"mi ammayi premiste, nenu enduku marchipovali ",4
neutral,"rey ninnu ma ammayi premistundhi, ma ammayini marchipo",4
happy,nuv eppudu aa maata antav ani eduru chustunna ra,0
happy,ra ra class bunk koddham,0
happy,my friend after drinking one peg: esestha evadu vacchina ,0
angry,naku telusura nuvve teesthav anii ituu raa neeku undhi,2
angry,my dad to me: evaru na pocket lo nunchi money teesindhi ,2
angry,eraaa chinnoda nuvve kadha ,2
confused,my sister: ledhu naaku adhe kavali,8
confused,my sister: naaku adhi kavali!,8
confused,me: naaku idhi kavali,8
confused,me: sarle adhe teesukundham elago intlo neeku nachindhe teesukuntaru,8
neutral,my friend: rey repati nunchi life meeda focus cheyali ra,4
neutral,my friend: adi veru ra,4
neutral,me: monna kuda edhe chepinav kada ra,4
wonder,"dini yamma, raktam vacche thattu kottindhi",7
neutral,"nenu levala, em lestham le ",4
neutral,that one kid with thathala aasti: ,4
surprised,my friend: edi edo tedaga unndhe,3
surprised,nuv anukunte aithadhi sami,3
angry,my friend after drinking the whole bottle:,2
neutral,when my female friend asking leave: sir naaku oka two days leave kavali,4
neutral,my lead: two days entra 10 days teesko nee istam. nee work evarokallu chestharule,4
surprised,dad's little princess: naaku ivaani chala mamul vishayam ,3
surprised,my dad: andharu poori ni chusi nerchukondi repatinunchi,3
surprised,my dad: dad's little princess ni chusi nerchukondi entha baa chesindhoo food,3
disgust,chi idi abbay ra,1
disgust,itu vaipe tirugu tundi ra  ,1
disgust,arey mama atu chudu ra ,1
angry,me asking my topper friend to send the important questions,2
angry,"he: hey, nenu busy raa",2
surprised,evadra aadu aslau ,3
surprised,"miru pillal ra, ayno pedda dada ",3
surprised,"rey niku ayana evaro tekusa, ayana background telusa  ",3
confused,"nenu ranu, evaru nuvvu",8
confused,"ikkade, unde deyyanni",8
confused,ra prakash ra ,8
confused,vammo,8
neutral,chatgpt: nuvvu coding raasetappudu neeku help chese vaadini!,4
neutral,me in 2022: evaru nuvvu?,4
sad,"me with my frnd: antha nuvve chesavraaaaa, nannu shed chesesav",9
sad,my frnd: bavundhira nuvvu fail ayii naa meedha thoseyyy!,9
neutral,emani ra ,4
neutral,sir mimmalni principal adigaru,4
neutral,me going to dive in the swimming pool after long time,4
happy,me dreaming about eating panipuri and roaming with my crush like this ,0
confused,"overaction chesindi chalu gani, muskoni kurcho ra yedava ",8
confused,eey evaru adhi ,8
neutral,my friend telling his love story 69th time after one breezer,4
happy,"her mother: dheeniki pelli chesaddham inka, vanta vacchesindhi gaa",0
happy,when my bestie did all the house work for 1st time excellently,0
happy,me in my dreams explaining my success story to everyone,0
disgust,after knowing: idi nakanna darunga vundhenti ,1
disgust,anti karyam ante enti andi,1
wonder,vallu ammayilu kadu ra aunty lu,7
wonder,mawa ammayilu vastunnaraa,7
heroism,"torch esta, leka pothe nuv kanpadav",5
heroism,rey mawa osari agu ra ,5
neutral,"my colleagues: neeku core jobs vacchina vaddhu ani, ee software company lo join ayyav ante",4
neutral,sahasamaney cheppali. any way all the best!!,4
confused,me calculating my monthly billssss,8
neutral,"me: nenu neeku propose cheinappudu, ""sorry, neeku naakanna manchi ammayi dorukuthundhi ante""",4
neutral,me: nuvvu manchi dhaanivi kaadha,4
confused,me: evado anukunna kadharaaaa,8
confused,my frnd came with gundu: rey mowa neneraaa ravi,8
confused,me: mowaa nuvaaa aah gundu entraaa,8
neutral,"me calling mom: helloo, mummyyy",4
neutral,me: office nunchi osthunna chepala pulusu ready ga unchu,4
happy,me: andhamga undatam naa thappu kadhu i know,0
happy,"me to someday in train who is seeing me continuously: hey, i am rajeev!",0
surprised,vado pedda panodu,3
surprised,eroju manam mana cr gurinchi telusukundam ,3
angry,all sides hyderabad lo bottu seenu ante teliyani vallu evadu unnaraa!!,2
angry,"hero: east side mardeupalli, west side kukatpally, north side komapply, south side uppal pally, ",2
disgust,dhenthony?,1
disgust,ni peru entra,1
disgust,dhenthony aanithony kadu uncle,1
disgust,anthony,1
disgust,na peru antony rodriguez,1
heroism,me: after getting successful in life,5
heroism,mom: vadu success avthadu,5
heroism,someone: success avadam ante antha easy kadu ado oka job chesko ani chepu,5
neutral,after watching mehar ramesh movies continuously ,4
surprised,my friend after drinking one peg: mawa ni antha manchodu evvadu led ra ,3
surprised,"after 5th peg:
ninnu vadalnu ra na kodaka agu ",3
happy,me after successfully convincing her parents after telling 100 abadhalu,0
fearful,"when there was no exam, when i absent for school",6
fearful,"my expression: enti, ivala exam repu pedathaara",6
neutral,rey pilchav ga matladu ,4
neutral,"manam chatting lo batsman gani, normal ga matladali ante duck out ee",4
happy,eroju ela aina ee pillani set chesukovali,0
happy,"that girl gave her dads number :
evadu ra vidu",0
neutral,le his girl,4
neutral,friend: nenu love marriage aa cheskunta ra,4
neutral,my friend: orini nee double action oo night aee  rendu beer lu kottav kadhara ,4
neutral,me in home: namaskaram amma nanna,4
fearful,when my parents came to my bachelor's house,6
fearful,my reaction,6
neutral,friend 2: entha andhamga lekapothe ala mokam meedha cheppesthava?,4
neutral,my girl bestie: vaadu nenu andhamga lenu annaduraaa,4
neutral,friend 1: adhi antha kadhu sorry cheppu nuvvu maa paapa ki!,4
neutral,friend1: evadu vaadu cheppu nenu warning istha,4
neutral,me: nijangane andhamga ledhu mari abadham cheppamantara?,4
neutral,"antha baga adutunnav, ekkada coaching teesukuntunnav ",4
neutral,"under 19 indian cricket team player ni, nila gali player ni kadu",4
happy,oka andhamaina ammayi ala naduchu kuntu vasta ,0
happy,mawa masthundhi ra climate,0
happy,ee time lo oka chilled beer ,0
happy,life jil jil jiga ra ,0
angry,"me: rey nannu vadiley, lekhapothey mee udhyogaalu pothaay",2
angry,when police stops me because of no licence:,2
angry,"ippudu okasaari rammante raavu, memu musalavallu ayyam ante, asalu pattinchukov emo",2
angry,"when mom calls me and i told her for wait for 2 minutes,
then my mom",2
neutral,mari antha thiragala?,4
neutral,entha thirigithe antha baa chesinattuu nuvu,4
neutral,inka leftuuu,4
neutral,turn left ,4
neutral,yoga sir to me: neeku yoga ocha?,4
neutral,arey aa since 1923 anedi enti ,4
neutral,adhi pedha pedha brands ki pettukunevi,4
surprised,me after seeing my frnd with his girlfriend: single single ani entha sodhi cheppavraaa!,3
confused,mam: nee concentration antha ekkado undhi ,8
confused,ituu chudu cheppedhi vinuu,8
confused,me: enti madam book thala meedha pettaru!,8
neutral,teacher: naaku intrest raatledhu,4
neutral,student: mari maaku intrest lekapoyina gantalu gantalu chepthaav,4
neutral,student: nuvvu chepthey gaani nenu vellanu,4
neutral,teacher: adhey nenu chesina thappu. ippudu vellara,4
neutral,student: naaku sum chepthava ledha,4
happy,enti edo kotha cinema release ayinattu undhi ,0
happy,tfi banisa me going to watch that movie,0
heroism,"when maths sir puts, extra class on sunday,",5
heroism,me going to that class very late,5
neutral,my friend: nenu chatgpt nunche copy paste chesaa,4
neutral,me showing frnd: veediki ochu ,4
neutral,lab assistant to me: neeku coding ocha?,4
fearful,me in hostel not able to sleep properly,6
fearful,mom in dreams: enduku ra bayapadthunav ninnu unna kada...happy ga paduko,6
neutral,"rey, rey padukoku, padukoku, 1st night varaku melkoo",4
neutral,me on 31st decemeber night: ,4
