text,emotion_label
"Hero: Rey aajamu, repu nee pelli ela jarigindhi ante, Abbo Car lu, Sumo lu, chasing lu, attacking lu, bullet lu",neutral
Most Heroism scene in the Film,heroism
Eraa chitti naidu,angry
pandhi laa thintav raa banda edhava ,angry
"Ninnu Choodatledhani pulpekki pothunnavanta gaa, andukey Ninnu choodadaniki ",heroism
andukey Ninnu choodadaniki 1000/- teeskunna,heroism
my friends looking at me after i came back from detonation: excuse me mam,angry
Me killing my Nammaka drohi friend,disgust
Me: Urgent ga ochi nannu teeskellipo mummy. Phn kosam kottukuntunaru mummy.,angry
Me calling my mom from hostel phone: Mummy ikkada naa valla ayithaledhu mummy ,angry
"please, kindly listen to me ",angry
kani em undadhu dolle,happy
vadini chusava entha unnado,happy
someone: me class lo pedda pulihora gadu avaru,wonder
my friend: nenu nenu,wonder
Me after seeing coding for the first time,confused
Dad to me: Siggu undaliraaa pandhi laaga madhyanm 12 daka padukuntunav ,disgust
"Chatgpt: Nuvvu Chatgpt use cheyyali anukunte, Nalaki $20 pay chesi use chey. Lekhapothey Maaney",neutral
Users: Husssh,neutral
Fights between 2 brothers in House,heroism
client:,neutral
fresh muthyam: sir super meru super sir salute sir meeku,neutral
client: chudu entha simple ga ipoendo pani,neutral
manager to emp: vadiki nuvu chepindi nachadu...vadiki nachindi vachinde kavali,neutral
My sister with siggu: Avnu nanna garu ene ,surprised
Dad: Abbaaa! Coffee adbuthamga undhi nuvvena peetindhiii!,surprised
Me with my relatives: Maa nanna ki lenipoyina salahalu ichi Meeru ila nannu rechakottakandi,angry
Rechakodithe meeru thine food lo cynaide kalipestha,angry
My frnd: Meeru maaripoyaru saaar meeru maaripoyaruu,confused
My frnd who saw me while going to gym,confused
arey monna mi intki vachindhi ga aa ammay ni set chey ra ,neutral
"aa ammayi atlantidhi kadu ra, paddati kala family ra valladhi ",neutral
ey cheste chesta ani cheppu biography deniki  ,neutral
When squad find me with slips in front of girls,disgust
My expression: ,disgust
Baagunnava Baabu,wonder
"Meeru nannu Baagunnava ante, Meeru naa baabai.
Devudicchina babai",wonder
Anthey Kadharaa,neutral
Me playing with chalk pieces and chalk piece powder in childhood be like:,neutral
my friend doing work after listening to motivation video (only for 5 min),happy
Me with my mom after going from office: Office lu ivanni kastam mummy,neutral
Physical ga mental ga stressuu!,neutral
"Already fail ayina me: Endhuku daddy ala fix, eesariki vadhileyochuga",surprised
Me explaining my kastalu to my family during job search,sad
Dad: Eraa idharu annii subjects pass ayyara?,happy
Mee with 2 backlogs: Annitilo A grade ochindhi nanna garu,happy
My brother: Adenti anna neeku rendu backlogs paddayigaaa,happy
Me after visiting pub for the first time ,surprised
My frnd: Kottestha mowa esarii,confused
Me: Nuvvu kottagalav mowa kottuuuu,confused
Me: Veedu enti joke chesthe serious ga teesukunnadu. ,confused
inko sari aa topic tesuku ramaku,angry
i love you arjun lets marry,angry
"eyy nenu niku munde cheppina, ee love givu set kavu, just friends with benifits ani anukunnam ga ",angry
from same class: ninna teskuna duster kosam vachadu...CR from Section D,fearful
someone from other class: evdra nuvu em kavali,fearful
Me after two pegs,wonder
"When Music director get any Tune, his reacton: Rey record chey, record chey",neutral
My dad after drinking: Edhi aah yedhavaniii piluvu ,confused
"Hero: Vadina Ikkada, Manalani King laa choosthunnaru",neutral
Brahmi: Bongem kaadhu,neutral
Most powerful Heroism scene in this Movie,heroism
vardanti ante entra ,angry
vardanti ante birthday kadu ra dinam ra dinam,angry
birthday ne ga,angry
"vadu vellodu ani cheppina vinka kunda, movie chudadaniki velladu",sad
UI movie,sad
Me trying to explain my mom that naa thappu em ledhu mummuyyyy,angry
boli magane cup alli idu,neutral
Me with my frnd: Antheleraaa kotha frnds ocharu anii maatho matladatam apesav!!,sad
Me: Nenu lekapothe ayipoyevalloo meeru,surprised
My frnd1: Nuvvu lekapothe konchem ayina baagupadevallam mowaaa,surprised
Me: Rey mowaaa,surprised
Frnd2: Correct aee mowaaa,surprised
aunties: make up esta randi,angry
picchi kotadam ante ila kottali,wonder
"Me: Ammo, naa marks nanna choosthey, ivala belt virigipoddhemo",angry
"My Dad in childhood: Era, exams papers iccharanata, teesukuni raa. and Adhey chettho naa belt kooda teesukuni raa",angry
My Friend on Every exam Morning,happy
"Enti, Roju laaney undhi. Kaani boku friend maaruthundhi ani cheppadu",confused
"Me on January 2nd,",confused
nuv marava inka,neutral
Mom: Ayyooo sweat thuduchukoo nannaaa,surprised
Me and My friends watching girls dance practice on Annual Day/Fest,fearful
"Ammo, Vaddhu raa baabu, Valla kanna neny baaga dance chesthaa",fearful
Me: Em kavali cheppu ndhuku ee sodhi antha,confused
My frnd: Ee shirt lo hero laa unnav mowaa,confused
Cinemaloki vellipooo shivaji nuvvu !,heroism
Me taking pictures of my sister: Abbaaa heroine akka nuvvu,heroism
me: birthday party undi money evvu nanna,happy
nanna: mundhu nuv aa lakshmi wines degariki velladam stop chey ra lambdi kodaka,happy
Junior: Evarakka nuvv?,surprised
My bestie: College lo most beautiful girl nene,surprised
"telivaina vaadu eppudu, nenu telivi kalla vadini ani cheppukodu",surprised
cheppu kovali bro,surprised
tage cigarette midhe nannu tagodhu potharu ani unte mari nenu enduku cheppuko kudadhu,surprised
Meeru permission isthe ala frnds tho bayataki veltha,happy
Mom: Chusara andi mana vaadu,happy
Kamalhassan me in home: amma garu and nanna garu,happy
ela unnaru,happy
tatha miru enti ekkada,happy
era manawada,happy
Me After seeing junior girls in our campus: Abbaaa mmauluga lerugaaa,neutral
My friend: Avnu raa mowaa mamuluga leru,neutral
Me with my teammates: rey aravakandiraaaa,happy
Ippatike rpoject konchem kooda chyeale ,happy
My friend after seeing my childhood photo in home: Dorakadraa veedu deenini photo teesukuni veeditho aadukundham class group lo petti,surprised
Principle ni Black Mail chesi,neutral
"Naaku Maths sums, Raavu. Kaani Nenu One of the Best Maths teacher ela ayyano telusaa",neutral
Me giving speech during seminar,confused
My frnds: Rey vaadini kindhaki pampeyandi vinaleka chasthunam ,confused
"miru avunu anna kadanna, ee ammayine pelli chesunta",disgust
"evaru emanu kunna, ee pilla talli naku nachindhi",disgust
patha sweety podham,disgust
Me with my frnds after cmng from oyo with sigguuu: First time mowaaa. nannu em adagakandi,surprised
My female friend: Maa aayana baa irritate chesthunadu,heroism
Me: Manam set ayipodham vadini esesiiii!!,heroism
Me: Cheppu sardahdga esedhama?,heroism
manam kuda ivi icchi pardobbudham mandem poyindhi,wonder
prathivodu edo okati istunnadu,wonder
Me explaining my love story to my juniors ,heroism
me: Adhi evadanna food antada thinte potharu janalu,neutral
wife: Emandi food ela undhi?,neutral
"Call me Brahmi, Software Engineer",surprised
"Uncle entra, Uncle!!",surprised
When a Boy call me Uncle,surprised
"Maths Teacher: Nahi, Dhekongey my Maths Knowledge",angry
"maths Sir wife: main khaamiyon par jaoonga, aap kaksha kahate hain",angry
Me with my juniors who joined recently,happy
Meeku undhiraa me future naaku ardhamayipoyindhiii!,happy
Me: chaduvukuni bagupadandiraa naa laaga,disgust
My frnd: Nee laaana or baagupadala?,disgust
kani baadha padaku ,surprised
nenu kuda fail ayya,surprised
mawa nuvvu fail ayyav ra ,surprised
me every time i see my girl in traditional,wonder
Scenarios of lovers at Park,neutral
ee hostel ki vacchinappudu ila undevadini bro ,neutral
chudu ippudu ela ayyano ,neutral
Judges be like: Anavarsam gaa ee ammayini select chesaanu,neutral
"In Padutha Teeyaga, When a girl sang in Worst way",neutral
ninnu pika pisiki chamapeyali ,surprised
annantha kopam vastundhe,surprised
nuvvu pette torcher ki ,surprised
me: chalu.....eka chalu,angry
Frnd 1: Ivela night ki sitting vesthunam,disgust
Frnd1: Ekkuva chesav ante bottle lo kodatham,disgust
Me: Naaku alantivi istam ledhu rrom ki raakandi meeru,disgust
Frnd 2: Nuvvu muskuni nee bed meedha kurchooo,disgust
Me with my juniors ,heroism
Pillaluraaa meeru!,heroism
My sister listening to my song: Abba entha baa paadav raa daridrangaaa ,surprised
Me in college fights ,heroism
oo meme cheppu ,wonder
kinda mida oopu CI garu thopu,wonder
My frnd: Veedenti intha feel ayipothunadu,confused
When my frnd served me biryani: Ndhukuraa mowa nenante intha fremaa neeku,confused
Adhi mmonna migilipoyina biryani ani telisthe emayipothadooo entooo,confused
nenu unna mama paduko,neutral
"My friend who cancels the trip: Vaadiki kaadhu, mundu veediki Laga dhenghey",angry
My married frnd: Eyyy same to same nenu ilane anna,heroism
me before marriage: Nenu ne lekka kadhu naa pellam ni control cheyatam masth ochuu,heroism
"Me after seeing MBBS 1st year Books:
Devuda",fearful
na koduka agura nuvvu,angry
niku eeroju moodindhi,angry
Some took Piracy of Pushpa -2 ,neutral
tondarga rara,neutral
when you get urgent washroom but some is in already: rey ra ra,neutral
arey ra ra twaraga ,neutral
vidu washroom poyada leda kannam pettadaniki poyada,neutral
my friend: ne kosam wait chesthund ra vaadu...oka chance vasthe ne moham pogalakodam ani jagratha undalsindi vadu kadu nuvu,heroism
senior: ekkada ra ne friend vadiki chepu college vadili vellipo ani,heroism
when you force ur friend to propose: arey naku bayam aithundi ra,neutral
ur friend: bayam aithundi,neutral
me: wow what a cute fellow..vellara propose chey,neutral
me: em aithundi nanna...,neutral
malli vastunnadra ikkadiki,fearful
chey vidini em chesina,fearful
me and my friend meeting after a long time,happy
"Me: Naaku marks takkuva vacchayi ani Principle,nannu hostel nunchi pampinchesaaru",neutral
"Me: Joke chesaa,
Joke haa bonga nijanganey pampinchesaaru",neutral
Mee vaadiki tuition fees 400 rupees,heroism
"In childhood, Tuition Sir",heroism
oh same same ,heroism
"hi, my name is raj im CEO of HOPE",heroism
I'm also CEO,heroism
in pubg playing 1v1 with that pro player everyone talks about,heroism
me: vadiki pubg enduku download chesa anipinchela chesa,heroism
His Vadina: Pettaka pothey,neutral
"Hero: Snanam cheyyakundney velthaaru. 
Intlo em ayyindhi andariki",neutral
"Hero: Vadina, urgent gaa Hot water pettu, Prasad gaaru snanam chesi, Bayataki velthaaru",neutral
"Heee, hee, heeey",surprised
"Eedo dhoni, edidhi o Teamuu",surprised
My other friend: Entra ala antav pillodu antha cute gaa aah shirt lo,surprised
My friend: Jathara entra it's branded 5k shirt,surprised
Me after seeing my friend in new shirt: Entra aee jatharlo lo konnav shirtuuu,surprised
Principle Different expressions while giving Speech on Republic Day,neutral
Dad: Enniii cheralu kontav already cupboard antha avee unnayi,angry
Mom: Naaaku aah saree kavalsindheee,angry
that one friend whenever you in kastalu money echi mari minguthadu,happy
His Reaction:,happy
"When mardhal, said: ""Nee shirt chaala baagundhi baagundhi""",happy
Me when someone sings a song,disgust
"That Lady: Veedu gelichaada, nenu gelichaana",neutral
"That Lady: Neeku 10 lakhs kaavali ante, naa kaalu pattuko, appudu isthaa",neutral
Hello...!,neutral
"Abba, Poddhuney Modalettaru",neutral
"When customer care calls, My reaction",neutral
Me before going into relationship ,heroism
em ledu bro parents pellichupulu start chesaru..,happy
ni anthu chusta,angry
reyy,angry
rey ninnu vadalra,angry
Me: Edhi ee box aeena?,neutral
My friend: Monna exam lo naa dantlo chusi rasav ani mam tho cheptha undu,neutral
My friend: Eraa snacks box ivvuu,neutral
"My friend: Yes, adhe ivvu thinipedatha",neutral
Me: Roju nuvve thinesthe nenem thinaliraaa,neutral
My friend: Entra noru legusthundhi,neutral
Me: Mari nenem thinali,neutral
ippudu chudu em ayyindho ,sad
enduku ra vadu vadu ani cheppina vinledu ,sad
"Most Turning Point of the Film, ",surprised
bike midhe podham ,neutral
car lo podhama bike lo podhama ,neutral
"Idhi raa, Pushpa gaadi range uu",angry
"Hero: Rey Shikawath Siruu, Nenu Syndicate member kaaka mundhu, Ee pushpa gaadi range ento telusaa",angry
 kasta mature ga alochiddam,wonder
chinna pillala kakunda,wonder
chittilu vedham,wonder
Me trying to do overaction infront of my ooru girls ,heroism
Enti veella illu ila undhi,surprised
When I go to my new wife's house after marraige,surprised
"Evadu Kodithey dhimma tirigi Mind block avuthundho, Vaade Pandu gaadu",surprised
"me secretly taking my friends phone and proposing that one girl in the group be like:
vidini elagaina edipinchali",surprised
veedu padukunnappude cheseyali,surprised
when your parents start pellichupulu,happy
antha telusthe inka degree enduku pass kale ra nenu ,wonder
milo ozone pora gurinchi evariki aina telusa,wonder
vidiki telusu anta,wonder
Me seeing my friend after haircut,surprised
Endhira ila unnav nuvvu,surprised
Me thinking about my strength in dreams ,heroism
Me: Ayina nenu thinte nuvvu thinattu kadhaa akka!,confused
Me: Naavi anukuni thinesa akka,confused
My sister: Nenu fridge lo dachukunna chocolates ndhuku thinesav,confused
Me: Nekendhuraaa,angry
Me: chestha aah matram,angry
My senior: Raa antunav entraaa baa ekkuvayindhi neeku,angry
Senior: Rey veedini round up cheyandira andharu,angry
Me: raa anee anta ippudu em chesthavra?,angry
My senior to me in college fight: Eraa enti baa ekkuva chesthunav,angry
"Don't Misunderstand me, It's my mannerism",neutral
Sister: Orey em acting chesthunavraaa kamalhassan!!,surprised
Me after eating her chocolate: Evaru nuvvu!,surprised
Me with my sister: Aaah please akka aah chocolate ivvuu ,surprised
Me silently drinking dads mandhu: Entidhi chedhugaa undhi,disgust
Me: Sorry daddy thumbs up anukunna,disgust
Dad: Entraa adhi thagesthunav,disgust
"Neny teesi manna, Dr. Jayakrishana, Phd, mphil... Sex specilsit laa undhi",surprised
Enthaku Teginchraa meeru,surprised
"Jayakrishna Simha, Simple gaa undani, aa chetha antha lepimani cheppanu",surprised
"Rey, Nuvvevidiv raa adhi cheppadaniki",surprised
me with that athi kid in functions,angry
Childhood me after cancelling games period ,sad
Me: Adagagane cheppesthe inka ndhuku mowaaa,angry
Lecturer: Eraaa evadraa arusthundhi ,angry
AA fans: Evadraa Piracy chesindhi!!,angry
Pushpa-2 was available in Piracy from Release Day Afternoon Onwards,angry
My Parents reaction after my sister coming from College Hostel,neutral
Me: Please mummy aah bomma konivvu mummy ,sad
Class lo suresh gaadu konukunnadu naaku kavali mummy ,sad
Maths Teacher: Meelo Maths class entha mandhi ki kaavali,wonder
Toppers raised their hands,wonder
Maths Teacher: Oh! Andhariki kaavalanammata,wonder
"Me: Ledu raa, Naaku manchi pakcage tho job ",neutral
"My friend: Entra Sweets panchuthunnav, Anni Pass ayipoyavaa",neutral
"My friend: Naaku 8.00 cgpa, vaadiki 7.00 cgpa, vadiki kooda vacchesindhi, kaani raatledhu...!",neutral
When I am giving sweets to everyone,neutral
me peacefully sleeping then some one knocking the door: ,angry
evadra adhi ,angry
intha podunne talupu kodutundhi,angry
Me: Kani answer akkada undhi!,fearful
Invigilator: Nee paper ituuu undhi,fearful
"Ila, Shoppings ki, ani cinemalki, Dabbulu tagaleyyakrledhu",surprised
"Happy ney gaa. Current bills kattakarledhu, Inti rent kattakraledhu",surprised
"When everyone celebrating New year,",surprised
Others: ee intlo intha vediga undhi ele untunnara,heroism
ila ,heroism
My frnd after eating pickles continuously ,sad
"His GF: Andukey ga, Ninnu bharisthnna",angry
"My friend to his GF: CHeppu, neeku nakkana, Manchi abbayi dorukuthada, Cheppu",angry
"When I am enjoying in Office Party, my TL
Me:",angry
bestie after getting a kiss from his bf be like: em anna chesadu veedu asalu,neutral
na bestie ye bestu vada ba kiss chestadu,neutral
"Maths teacher: Nenu chinnappudu anni subjects lo topper, Andhukey Ippudu Meeku baaga class chepthunna ",happy
Meeru naalagey baaga chaduvuni Teachers avvandi,happy
"Adhey video mee ammadho, chelli dho pedithey, ela untundhi raa",disgust
Nuvvu asalu manishivenaa raa,disgust
when you all went for party: arey azamuuu ekkadiki ra pothunav,happy
that teetotaler situation: nenu voptha ra meelo meeru kottukoni chavandi,happy
"Maths Sir: Tum andar jao, meree klaas der ho jaegee",neutral
His wife: main chala gaya.!! main tumhaaree klaas dekhoonga!! ,neutral
"Maths Teacher: Abba, idhi velladu, veedu vadaladu",neutral
dadagiri ki vachchina dourjanyaaniki vachchina goondaisaniki vachchina grouplu katataniki vachchina rajakiyam tho vachchina rowdyisam tho vachchina..puta ko sevam chappuna port ki bali avuthaayi.,heroism
iddhe nella meedha yela tharapadi ganja ki edichammu guda ki edichammu…kadupu maadithe kaneelu mingi bathikemmu… Aaa kaneelu ippudu mandayi…!!! evarainna vasthe maadipothaaru.. .,heroism
Chatrapathi Interval Dialouge: ,heroism
"miru chese panlu maku teliyada enti, cheppa mantara",confused
ippudu ee manchu undhi kada mandu lo kalupu koni taagocha,confused
lecturer ni adige doubt aa ra idhi,confused
achham mi akka buggalu ni buggalu same to same unnay ra ,angry
po poyi cheppu mi nanna ki ninnu kuda muddu pettu kunna ani,angry
My friend using snap filters be like and using that as whatsapp dp,happy
my friend after becoming a doctor: oopri kasta mellaga teesukondi  ,angry
"me and my friends after realizing that we have joined in jail, instead of college",heroism
"enni years chaduvutav ayya degree ni, ma ammayini chusi nerchuko",surprised
vidu nake esadu dialogue malli,surprised
mi ammayini chuste eppudo aypoyedhi mari,surprised
My frnds taking me to sitting when i am not interested ,disgust
giraka nenu niku doraka ,neutral
That lizard running away from getting caught: ,neutral
"When a topper got forgot to write 1, 2 marks question",sad
"Principal: Ika CR gaa, ee class ni nuvvey lead cheyyali",surprised
"Me: Eedo pedha captain, Migatha vaallo playerssu",surprised
My friends where there is a new lady professor in the class be like: Rey aapukondra ,happy
My brother: Urko raa neeku alavatega ivanniii!,sad
Me after getting thitlu from daddy ,sad
Me telling about my friend to his Father: ,surprised
"His Father: Ledhu
Me: Akkada adhi Mar gayaa!!!",surprised
Me: Ee lati lekunda meeru work cheyyagalara,surprised
"Me: Kothadhi, Kothadi cheppu ra",heroism
CR: Nuvvoka Back Bencher vi,heroism
aah enti?,neutral
"mi ammayi premiste, nenu enduku marchipovali ",neutral
"rey ninnu ma ammayi premistundhi, ma ammayini marchipo",neutral
nuv eppudu aa maata antav ani eduru chustunna ra,happy
ra ra class bunk koddham,happy
my friend after drinking one peg: esestha evadu vacchina ,happy
Naku telusura nuvve teesthav anii ituu raa neeku undhi,angry
My dad to me: Evaru na pocket lo nunchi money teesindhi ,angry
Eraaa chinnoda nuvve kadha ,angry
My sister: Ledhu naaku adhe kavali,confused
My sister: Naaku adhi kavali!,confused
Me: Naaku idhi kavali,confused
Me: Sarle adhe teesukundham elago intlo neeku nachindhe teesukuntaru,confused
my friend: rey repati nunchi life meeda focus cheyali ra,neutral
my friend: adi veru ra,neutral
me: monna kuda edhe chepinav kada ra,neutral
"dini yamma, raktam vacche thattu kottindhi",wonder
"nenu levala, em lestham le ",neutral
That one kid with thathala aasti: ,neutral
my friend: edi edo tedaga unndhe,surprised
nuv anukunte aithadhi sami,surprised
My friend after drinking the whole bottle:,angry
when my female friend asking leave: Sir naaku oka two days leave kavali,neutral
My lead: Two days entra 10 days teesko nee istam. Nee work evarokallu chestharule,neutral
Dad's little princess: Naaku ivaani chala mamul vishayam ,surprised
My dad: Andharu poori ni chusi nerchukondi repatinunchi,surprised
My dad: Dad's little princess ni chusi nerchukondi entha baa chesindhoo food,surprised
chi idi abbay ra,disgust
itu vaipe tirugu tundi ra  ,disgust
arey mama atu chudu ra ,disgust
Me asking my Topper friend to send the Important Questions,angry
"He: Hey, nenu busy raa",angry
evadra aadu aslau ,surprised
"miru pillal ra, ayno pedda dada ",surprised
"rey niku ayana evaro tekusa, ayana background telusa  ",surprised
"nenu ranu, evaru nuvvu",confused
"ikkade, unde deyyanni",confused
ra prakash ra ,confused
vammo,confused
Chatgpt: Nuvvu Coding raasetappudu Neeku Help Chese vaadini!,neutral
Me in 2022: Evaru nuvvu?,neutral
"Me with my frnd: Antha nuvve chesavraaaaa, Nannu shed chesesav",sad
My frnd: Bavundhira nuvvu fail ayii naa meedha thoseyyy!,sad
emani ra ,neutral
sir mimmalni principal adigaru,neutral
me going to dive in the swimming pool after long time,neutral
Me dreaming about eating panipuri and roaming with my crush like this ,happy
"overaction chesindi chalu gani, muskoni kurcho ra yedava ",confused
eey evaru adhi ,confused
my friend telling his love story 69th time after one breezer,neutral
"Her mother: Dheeniki pelli chesaddham inka, vanta vacchesindhi gaa",happy
When my bestie did all the house work for 1st time excellently,happy
Me in my dreams explaining my success story to everyone,happy
after knowing: idi nakanna darunga vundhenti ,disgust
anti karyam ante enti andi,disgust
vallu ammayilu kadu ra aunty lu,wonder
mawa ammayilu vastunnaraa,wonder
"torch esta, leka pothe nuv kanpadav",heroism
rey mawa osari agu ra ,heroism
"My colleagues: Neeku Core jobs vacchina vaddhu ani, ee software company lo join ayyav ante",neutral
Sahasamaney cheppali. Any way All the best!!,neutral
me calculating my monthly billssss,confused
"Me: Nenu neeku propose cheinappudu, ""Sorry, neeku naakanna manchi ammayi dorukuthundhi ante""",neutral
Me: Nuvvu manchi dhaanivi kaadha,neutral
Me: Evado anukunna kadharaaaa,confused
My frnd came with gundu: Rey mowa neneraaa ravi,confused
Me: Mowaa nuvaaa aah gundu entraaa,confused
"Me calling mom: Helloo, Mummyyy",neutral
Me: Office nunchi osthunna chepala pulusu ready ga unchu,neutral
Me: Andhamga undatam naa thappu kadhu i know,happy
"Me to someday in train who is seeing me continuously: Hey, I am Rajeev!",happy
Vado pedda panodu,surprised
eroju manam mana cr gurinchi telusukundam ,surprised
All sides Hyderabad lo Bottu seenu ante teliyani vallu evadu unnaraa!!,angry
"Hero: East side Mardeupalli, west side Kukatpally, North side Komapply, South Side Uppal pally, ",angry
dhenthony?,disgust
ni peru entra,disgust
dhenthony aanithony kadu uncle,disgust
anthony,disgust
na peru antony rodriguez,disgust
me: after getting successful in life,heroism
mom: vadu success avthadu,heroism
someone: success avadam ante antha easy kadu ado oka job chesko ani chepu,heroism
After watching Mehar Ramesh movies continuously ,neutral
my friend after drinking one peg: mawa ni antha manchodu evvadu led ra ,surprised
"after 5th peg:
ninnu vadalnu ra na kodaka agu ",surprised
Me after successfully convincing her parents after telling 100 abadhalu,happy
"When there was no exam, when I absent for school",fearful
"My expression: Enti, ivala exam repu pedathaara",fearful
rey pilchav ga matladu ,neutral
"manam chatting lo batsman gani, normal ga matladali ante duck out ee",neutral
eroju ela aina ee pillani set chesukovali,happy
"that girl gave her dads number :
evadu ra vidu",happy
le his girl,neutral
friend: nenu love marriage aa cheskunta ra,neutral
My friend: Orini nee double action oo night aee  rendu beer lu kottav kadhara ,neutral
Me in home: Namaskaram amma nanna,neutral
When My parents came to my Bachelor's house,fearful
My Reaction,fearful
Friend 2: Entha andhamga lekapothe ala mokam meedha cheppesthava?,neutral
My girl bestie: Vaadu nenu andhamga lenu annaduraaa,neutral
Friend 1: Adhi antha kadhu sorry cheppu nuvvu maa paapa ki!,neutral
Friend1: Evadu vaadu cheppu nenu warning istha,neutral
Me: Nijangane andhamga ledhu mari abadham cheppamantara?,neutral
"antha baga adutunnav, ekkada coaching teesukuntunnav ",neutral
"Under 19 Indian cricket team player ni, nila gali player ni kadu",neutral
oka andhamaina ammayi ala naduchu kuntu vasta ,happy
mawa masthundhi ra climate,happy
ee time lo oka chilled beer ,happy
life jil jil jiga ra ,happy
"Me: Rey nannu vadiley, lekhapothey mee udhyogaalu Pothaay",angry
When Police stops me because of No Licence:,angry
"Ippudu okasaari rammante raavu, Memu musalavallu ayyam ante, Asalu pattinchukov emo",angry
"When Mom calls me and I told her for wait for 2 minutes,
Then my Mom",angry
Mari antha Thiragala?,neutral
Entha thirigithe antha baa chesinattuu nuvu,neutral
Inka leftuuu,neutral
Turn left ,neutral
Yoga sir to me: Neeku Yoga ocha?,neutral
arey aa since 1923 anedi enti ,neutral
adhi pedha pedha brands ki pettukunevi,neutral
Me after seeing my frnd with his girlfriend: Single single ani entha sodhi cheppavraaa!,surprised
Mam: Nee concentration antha ekkado undhi ,confused
Ituu chudu cheppedhi vinuu,confused
Me: Enti madam book thala meedha pettaru!,confused
Teacher: Naaku Intrest raatledhu,neutral
Student: Mari maaku Intrest lekapoyina gantalu gantalu chepthaav,neutral
Student: Nuvvu chepthey gaani nenu vellanu,neutral
Teacher: Adhey nenu chesina thappu. Ippudu Vellara,neutral
Student: Naaku sum chepthava ledha,neutral
enti edo kotha cinema release ayinattu undhi ,happy
TFI banisa me going to watch that movie,happy
"When Maths Sir puts, extra class on Sunday,",heroism
Me going to that class very late,heroism
My friend: Nenu Chatgpt nunche copy paste chesaa,neutral
Me showing frnd: Veediki ochu ,neutral
Lab assistant to me: Neeku coding ocha?,neutral
me in hostel not able to sleep properly,fearful
mom in dreams: enduku ra bayapadthunav ninnu unna kada...happy ga paduko,fearful
"Rey, Rey Padukoku, Padukoku, 1st night varaku Melkoo",neutral
Me on 31st Decemeber Night: ,neutral
Me with frnd: Rey nannu rechakottaku,disgust
Rechakodithe manishini kadhu nenu,disgust
me in childhood calling icecream anna...vadu appude ma veedhi chivara unadu bro,neutral
Meeku elanti ammayi kaavali,surprised
"Naaku elanti ammayi, vaddhu. ",surprised
em ledu bro NNN miss chesa anduke hand shoot cheskuna,sad
evaru nachale ra niku ,neutral
chi nuv na friend ve kadu ra ,neutral
arey aa pilla nachindra ,neutral
uncle: emoo babu nenu asalu chudaledhu,neutral
uncle: emoo kanipiyale vethukooo,neutral
me after searching: Meere dachesaru kadha naaku telusu,neutral
Me to my next-door uncle: Uncle ball padindhi mee intlo chusara?,neutral
me: akka intiki vasthuna em chesav na kosam,neutral
akka: nuvu raara me bava unnadu kada nuvu adi adigithe adi chepidam,neutral
"When Maths teacher telling class from 3 hours, My friend reaction:",angry
